1	15	112	43122
1	38	112	43099
1	270	112	42867
1	3	112	43134
1	660	112	42477
2	24	111	43112
1	149	112	42988
1	347	112	42790
1	34	112	43103
1	500	112	42637
1	1019	112	42118
4	2091	109	41043
9	225	104	42904
1	462	112	42675
1	185	112	42952
1	21	112	43116
1	137	112	43000
1	400	112	42737
1	580	112	42557
1	631	112	42506
2	50	111	43086
1	420	112	42717
3	1307	110	41828
1	799	112	42338
1	83	112	43054
1	336	112	42801
4	11998	109	31136
2	532	111	42604
1	57	112	43080
1	503	112	42634
2	2339	111	40797
1	336	112	42801
1	203	112	42934
1	910	112	42227
1	166	112	42971
1	1844	112	41293
1	293	112	42844
1	574	112	42563
1	13	112	43124
2	11	111	43125
1	633	112	42504
1	524	112	42613
3	4	110	43131
2	25	111	43111
1	456	112	42681
1	71	112	43066
1	3	112	43134
6	462	107	42670
1	3	112	43134
1	35	112	43102
1	1253	112	41884
2	9	111	43127
1	406	112	42731
2	764	111	42372
1	439	112	42698
1	1018	112	42119
1	85	112	43052
1	258	112	42879
1	189	112	42948
1	940	112	42197
10	320	103	42808
2	1059	111	42077
1	273	112	42864
2	1115	111	42021
1	687	112	42450
1	348	112	42789
1	510	112	42627
1	121	112	43016
1	395	112	42742
1	5	112	43132
1	50	112	43087
