2	6	52	26422
1	318	53	26111
2	17	52	26411
2	280	52	26148
3	93	51	26334
1	232	53	26197
1	728	53	25701
1	533	53	25896
1	297	53	26132
1	8	53	26421
1	969	53	25460
1	3	53	26426
2	2674	52	23754
1	3	53	26426
1	248	53	26181
1	3933	53	22496
1	11	53	26418
2	709	52	25719
2	98	52	26330
1	407	53	26022
1	33	53	26396
7	10814	47	15609
1	35	53	26394
1	502	53	25927
2	6	52	26422
2	1466	52	24962
1	14	53	26415
1	98	53	26331
2	190	52	26238
1	140	53	26289
1	416	53	26013
1	11	53	26418
2	953	52	25475
2	88	52	26340
1	43	53	26386
